index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales
55,2003.0,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,genre fiction,4966.39
56,2002.0,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,genre fiction,1629.54
57,1986.0,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,genre fiction,17783.3
58,2012.0,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,genre fiction,1613.7
59,1849.0,David Copperfield,"Charles Dickens, Jeremy Tambling",eng,Intermediate,3.96,150512,genre fiction,18394.85
60,2007.0,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",eng,Intermediate,4.11,160607,genre fiction,10384.0
61,1967.0,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",eng,Intermediate,4.32,131389,genre fiction,6320.16
62,1968.0,A Wizard of Earthsea,Ursula K. Le Guin,en-US,Intermediate,3.99,155042,genre fiction,4707.0
63,2000.0,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",eng,Intermediate,4.0,154476,genre fiction,1522.62
64,1959.0,A Separate Peace,John Knowles,en-US,Intermediate,3.56,155901,genre fiction,5924.47
65,1995.0,The Rainmaker,John Grisham,eng,Intermediate,3.91,137412,genre fiction,12040.93
66,1605.0,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",eng,Intermediate,3.85,134931,genre fiction,13413.08
67,1995.0,Assassin's Apprentice,Robin Hobb,eng,Intermediate,4.14,132777,genre fiction,2907.39
68,1980.0,The Restaurant at the End of the Universe,Douglas Adams,eng,Intermediate,4.22,153838,genre fiction,11553.54
69,2010.0,Torment,Lauren Kate,eng,Intermediate,3.89,174393,genre fiction,5705.7
70,1901.0,The Tale of Peter Rabbit,Beatrix Potter,eng,Intermediate,4.17,162373,genre fiction,9890.85
71,1953.0,The Silver Chair,"C.S. Lewis, Pauline Baynes",eng,Intermediate,3.95,170453,genre fiction,5245.36
72,2008.0,The Hero of Ages,Brandon Sanderson,eng,Famous,4.46,143622,nonfiction,5826.64
73,1993.0,"Girl, Interrupted",Susanna Kaysen,eng,Intermediate,3.9,145161,genre fiction,2724.31
74,2007.0,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,,Intermediate,3.85,127096,genre fiction,5462.31
75,1970.0,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",en-US,Intermediate,3.8,133728,genre fiction,6751.47
76,2014.0,City of Heavenly Fire,Cassandra Clare,eng,Famous,4.48,177796,genre fiction,6676.62
77,1986.0,Love You Forever,"Robert Munsch, Sheila McGraw",en-GB,Intermediate,4.34,159703,genre fiction,1309.77
78,2006.0,Cell,Stephen King,en-US,Intermediate,3.64,144591,genre fiction,5933.78
79,2013.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,eng,Intermediate,4.32,113565,genre fiction,8482.43
80,1977.0,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng,Intermediate,3.87,134106,genre fiction,6447.08
81,1987.0,The Drawing of the Three,Stephen King,eng,Intermediate,4.23,139052,nonfiction,2539.24
82,2008.0,The Forgotten Garden,Kate Morton,en-GB,Intermediate,4.12,138377,genre fiction,4907.7
83,1925.0,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",eng,Intermediate,3.98,131856,genre fiction,1202.85
84,2002.0,This Lullaby,Sarah Dessen,eng,Intermediate,4.03,151829,genre fiction,2417.85
85,2000.0,Plain Truth,Jodi Picoult,eng,Intermediate,3.97,128406,genre fiction,1188.0
86,2010.0,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,eng,Intermediate,3.7,127186,fiction,2388.0
87,1902.0,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",eng,Intermediate,4.09,154517,genre fiction,2356.16
88,2011.0,"Thinking, Fast and Slow",Daniel Kahneman,eng,Intermediate,4.08,136950,genre fiction,1157.31
89,1982.0,The Mists of Avalon,Marion Zimmer Bradley,eng,Intermediate,4.12,157736,genre fiction,1157.31
90,1970.0,"Are You There God? It's Me, Margaret",Judy Blume,eng,Intermediate,3.89,151789,genre fiction,1111.77
91,2002.0,Nights in Rodanthe,Nicholas Sparks,eng,Intermediate,3.82,129807,genre fiction,5603.77
92,2014.0,Mr. Mercedes,Stephen King,eng,Intermediate,3.92,125847,genre fiction,2202.93
93,2007.0,All Together Dead,Charlaine Harris,eng,Intermediate,4.05,162689,genre fiction,6983.24
94,1997.0,Midwives,Chris Bohjalian,en-US,Intermediate,3.97,133155,genre fiction,6885.89
95,1985.0,The Polar Express,Chris Van Allsburg,en-US,Intermediate,4.29,168001,nonfiction,1035.54
96,1989.0,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",en-GB,Intermediate,4.29,141945,genre fiction,1019.7
97,1987.0,Patriot Games,Tom Clancy,eng,Intermediate,4.11,141674,genre fiction,6079.85
98,1998.0,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,111856,genre fiction,6932.45
99,2013.0,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",eng,Intermediate,3.94,135635,genre fiction,985.05
100,2005.0,Dead as a Doornail ,Charlaine Harris,eng,Intermediate,4.01,169560,genre fiction,5068.8
101,2011.0,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,en-US,Intermediate,4.01,176433,fiction,2195.2
102,1959.0,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,genre fiction,7312.5
103,2011.0,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,genre fiction,960.3
104,1991.0,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,genre fiction,10224.0
105,2011.0,,Mark Cotta Vaz,eng,Intermediate,4.3,188136,genre fiction,7670.4
106,1950.0,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,genre fiction,1880.55
107,2010.0,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,genre fiction,4690.6
108,1880.0,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng,Intermediate,3.97,144497,genre fiction,3730.65
109,2002.0,Prey,Michael Crichton,,Intermediate,3.72,131352,genre fiction,1850.7
110,1956.0,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,genre fiction,5980.0
111,2007.0,World Without End,Ken Follett,eng,Intermediate,4.23,128715,genre fiction,905.85
112,2008.0,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction,7759.2
113,2012.0,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,genre fiction,900.9
114,2007.0,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,genre fiction,895.95
115,1390.0,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",eng,Novice,3.48,148480,genre fiction,891.0
116,2006.0,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction,5841.0
117,2011.0,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction,10731.05
118,2009.0,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",eng,Intermediate,3.89,125195,genre fiction,2661.1
119,1852.0,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,eng,Intermediate,3.83,137858,fiction,1771.1
120,1909.0,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction,3531.15
121,2006.0,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,genre fiction,6525.0
122,1995.0,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",en-US,Intermediate,4.08,98738,genre fiction,3451.35
123,2010.0,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,genre fiction,6871.4
124,2011.0,Crossed,Ally Condie,eng,Intermediate,3.52,100886,genre fiction,841.5
125,2006.0,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,genre fiction,10131.55
126,2008.0,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,genre fiction,6711.6
127,2001.0,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,genre fiction,816.75
128,1995.0,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction,1641.75
129,1980.0,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction,5696.85
130,1972.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,genre fiction,2421.9
131,1999.0,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,genre fiction,8573.25
132,1980.0,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,genre fiction,3192.0
133,1958.0,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,genre fiction,792.0
134,2010.0,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,genre fiction,3172.05
135,2005.0,Anansi Boys,Neil Gaiman,eng,Intermediate,4.0,137639,nonfiction,1572.1
136,2009.0,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction,9412.15
137,2014.0,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,genre fiction,3112.2
138,1982.0,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,genre fiction,8269.25
139,1979.0,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,genre fiction,1512.4
140,1920.0,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,genre fiction,3012.45
141,1934.0,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,genre fiction,3742.5
142,2013.0,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,genre fiction,2992.5
143,2001.0,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,genre fiction,3717.55
144,1980.0,Firestarter,Stephen King,eng,Intermediate,3.85,142213,genre fiction,2952.6
145,2013.0,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,genre fiction,727.65
146,2009.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,genre fiction,3642.7
147,2014.0,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,genre fiction,5444.75
148,1939.0,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,genre fiction,712.8
